,episode,steps,reward,alpha,gamma,epsilon,time,info
0,186,19,1097,0,0,0.01,5:56:28,{'message': 'reached_goal'}
1,187,18,1076,0,0,0.01,5:56:37,{'message': 'reached_goal'}
0,188,18,1102,0,0,0.01,5:56:46,{'message': 'reached_goal'}
1,189,19,1097,0,0,0.01,5:56:55,{'message': 'reached_goal'}
0,190,19,1086,0,0,0.01,5:57:04,{'message': 'reached_goal'}
1,191,18,1091,0,0,0.01,5:57:14,{'message': 'reached_goal'}
0,192,18,1102,0,0,0.01,5:57:22,{'message': 'reached_goal'}
1,193,18,1102,0,0,0.01,5:57:31,{'message': 'reached_goal'}
0,194,17,1096,0,0,0.01,5:57:40,{'message': 'reached_goal'}
1,195,17,1096,0,0,0.01,5:57:49,{'message': 'reached_goal'}
0,196,17,1085,0,0,0.01,5:57:58,{'message': 'reached_goal'}
1,197,17,1085,0,0,0.01,5:58:07,{'message': 'reached_goal'}
0,198,17,1085,0,0,0.01,5:58:16,{'message': 'reached_goal'}
1,199,18,1091,0,0,0.01,5:58:24,{'message': 'reached_goal'}
0,200,17,1085,0,0,0.01,5:58:32,{'message': 'reached_goal'}
1,201,17,1085,0,0,0.01,5:58:40,{'message': 'reached_goal'}
0,202,18,1091,0,0,0.01,5:58:49,{'message': 'reached_goal'}
1,203,19,1086,0,0,0.01,5:58:58,{'message': 'reached_goal'}
0,204,17,1085,0,0,0.01,5:59:07,{'message': 'reached_goal'}
1,205,17,1085,0,0,0.01,5:59:16,{'message': 'reached_goal'}
0,206,17,1085,0,0,0.01,5:59:26,{'message': 'reached_goal'}
1,207,18,1091,0,0,0.01,5:59:35,{'message': 'reached_goal'}
0,208,17,1085,0,0,0.01,5:59:43,{'message': 'reached_goal'}
1,209,17,1085,0,0,0.01,5:59:52,{'message': 'reached_goal'}
0,210,18,1081,0,0,0.01,6:00:01,{'message': 'reached_goal'}
1,211,18,1091,0,0,0.01,6:00:09,{'message': 'reached_goal'}
0,212,17,1085,0,0,0.01,6:00:18,{'message': 'reached_goal'}
1,213,18,1080,0,0,0.01,6:00:27,{'message': 'reached_goal'}
0,214,17,1085,0,0,0.01,6:00:35,{'message': 'reached_goal'}
1,215,17,1085,0,0,0.01,6:00:44,{'message': 'reached_goal'}
0,216,17,1085,0,0,0.01,6:00:53,{'message': 'reached_goal'}
1,217,17,1085,0,0,0.01,6:01:02,{'message': 'reached_goal'}
0,218,17,1085,0,0,0.01,6:01:11,{'message': 'reached_goal'}
1,219,18,1065,0,0,0.01,6:01:20,{'message': 'reached_goal'}
0,220,17,1085,0,0,0.01,6:01:28,{'message': 'reached_goal'}
1,221,17,1085,0,0,0.01,6:01:36,{'message': 'reached_goal'}
0,222,17,1085,0,0,0.01,6:01:44,{'message': 'reached_goal'}
1,223,18,1070,0,0,0.01,6:01:53,{'message': 'reached_goal'}
0,224,17,1085,0,0,0.01,6:02:02,{'message': 'reached_goal'}
1,225,18,1050,0,0,0.01,6:02:11,{'message': 'reached_goal'}
0,226,18,1070,0,0,0.01,6:02:20,{'message': 'reached_goal'}
1,227,17,1085,0,0,0.01,6:02:29,{'message': 'reached_goal'}
0,228,17,1085,0,0,0.01,6:02:37,{'message': 'reached_goal'}
1,229,17,1085,0,0,0.01,6:02:45,{'message': 'reached_goal'}
0,230,17,1085,0,0,0.01,6:02:55,{'message': 'reached_goal'}
1,231,17,1085,0,0,0.01,6:03:03,{'message': 'reached_goal'}
0,232,17,1085,0,0,0.01,6:03:11,{'message': 'reached_goal'}
1,233,17,1085,0,0,0.01,6:03:19,{'message': 'reached_goal'}
0,234,17,1085,0,0,0.01,6:03:29,{'message': 'reached_goal'}
1,235,17,1085,0,0,0.01,6:03:38,{'message': 'reached_goal'}
0,236,17,1085,0,0,0.01,6:03:46,{'message': 'reached_goal'}
1,237,17,1085,0,0,0.01,6:03:55,{'message': 'reached_goal'}
0,238,17,1085,0,0,0.01,6:04:04,{'message': 'reached_goal'}
1,239,17,1085,0,0,0.01,6:04:12,{'message': 'reached_goal'}
0,240,17,1085,0,0,0.01,6:04:21,{'message': 'reached_goal'}
1,241,17,1085,0,0,0.01,6:04:30,{'message': 'reached_goal'}
0,242,17,1085,0,0,0.01,6:04:39,{'message': 'reached_goal'}
1,243,17,1085,0,0,0.01,6:04:48,{'message': 'reached_goal'}
0,244,17,1085,0,0,0.01,6:04:57,{'message': 'reached_goal'}
1,245,17,1085,0,0,0.01,6:05:06,{'message': 'reached_goal'}
0,246,17,1085,0,0,0.01,6:05:15,{'message': 'reached_goal'}
1,247,17,1085,0,0,0.01,6:05:23,{'message': 'reached_goal'}
0,248,17,1085,0,0,0.01,6:05:31,{'message': 'reached_goal'}
1,249,17,1085,0,0,0.01,6:05:40,{'message': 'reached_goal'}
0,250,18,1091,0,0,0.01,6:05:49,{'message': 'reached_goal'}
1,251,17,1085,0,0,0.01,6:05:58,{'message': 'reached_goal'}
0,252,20,1103,0,0,0.01,6:06:08,{'message': 'reached_goal'}
1,253,17,1085,0,0,0.01,6:06:18,{'message': 'reached_goal'}
0,254,17,1085,0,0,0.01,6:06:27,{'message': 'reached_goal'}
1,255,17,1085,0,0,0.01,6:06:35,{'message': 'reached_goal'}
0,256,17,1085,0,0,0.01,6:06:43,{'message': 'reached_goal'}
1,257,18,1091,0,0,0.01,6:06:52,{'message': 'reached_goal'}
0,258,17,1085,0,0,0.01,6:07:01,{'message': 'reached_goal'}
1,259,17,1085,0,0,0.01,6:07:10,{'message': 'reached_goal'}
0,260,17,1085,0,0,0.01,6:07:18,{'message': 'reached_goal'}
1,261,17,1085,0,0,0.01,6:07:27,{'message': 'reached_goal'}
0,262,17,1085,0,0,0.01,6:07:36,{'message': 'reached_goal'}
1,263,17,1085,0,0,0.01,6:07:45,{'message': 'reached_goal'}
0,264,17,1085,0,0,0.01,6:07:53,{'message': 'reached_goal'}
1,265,17,1085,0,0,0.01,6:08:02,{'message': 'reached_goal'}
0,266,17,1085,0,0,0.01,6:08:10,{'message': 'reached_goal'}
1,267,19,1086,0,0,0.01,6:08:20,{'message': 'reached_goal'}
0,268,17,1085,0,0,0.01,6:08:29,{'message': 'reached_goal'}
1,269,17,1085,0,0,0.01,6:08:37,{'message': 'reached_goal'}
0,270,17,1085,0,0,0.01,6:08:45,{'message': 'reached_goal'}
1,271,17,1085,0,0,0.01,6:08:55,{'message': 'reached_goal'}
0,272,18,1091,0,0,0.01,6:09:04,{'message': 'reached_goal'}
1,273,17,1085,0,0,0.01,6:09:12,{'message': 'reached_goal'}
0,274,17,1096,0,0,0.01,6:09:21,{'message': 'reached_goal'}
1,275,17,1096,0,0,0.01,6:09:30,{'message': 'reached_goal'}
0,276,17,1096,0,0,0.01,6:09:38,{'message': 'reached_goal'}
1,277,17,1096,0,0,0.01,6:09:48,{'message': 'reached_goal'}
0,278,17,1096,0,0,0.01,6:09:57,{'message': 'reached_goal'}
1,279,17,1096,0,0,0.01,6:10:06,{'message': 'reached_goal'}
0,280,16,1090,0,0,0.01,6:10:14,{'message': 'reached_goal'}
1,281,18,1102,0,0,0.01,6:10:23,{'message': 'reached_goal'}
0,282,16,1090,0,0,0.01,6:10:31,{'message': 'reached_goal'}
1,283,18,1091,0,0,0.01,6:10:39,{'message': 'reached_goal'}
0,284,17,1096,0,0,0.01,6:10:47,{'message': 'reached_goal'}
1,285,17,1096,0,0,0.01,6:10:56,{'message': 'reached_goal'}
0,286,17,1096,0,0,0.01,6:11:05,{'message': 'reached_goal'}
1,287,17,1096,0,0,0.01,6:11:14,{'message': 'reached_goal'}
0,288,17,1096,0,0,0.01,6:11:22,{'message': 'reached_goal'}
1,289,17,1096,0,0,0.01,6:11:31,{'message': 'reached_goal'}
0,290,17,1096,0,0,0.01,6:11:39,{'message': 'reached_goal'}
1,291,17,1096,0,0,0.01,6:11:47,{'message': 'reached_goal'}
0,292,17,1096,0,0,0.01,6:11:56,{'message': 'reached_goal'}
1,293,20,1103,0,0,0.01,6:12:06,{'message': 'reached_goal'}
0,294,17,1096,0,0,0.01,6:12:14,{'message': 'reached_goal'}
1,295,17,1096,0,0,0.01,6:12:24,{'message': 'reached_goal'}
0,296,17,1096,0,0,0.01,6:12:33,{'message': 'reached_goal'}
1,297,17,1096,0,0,0.01,6:12:40,{'message': 'reached_goal'}
0,298,17,1096,0,0,0.01,6:12:49,{'message': 'reached_goal'}
1,299,17,1096,0,0,0.01,6:12:58,{'message': 'reached_goal'}
0,300,18,1102,0,0,0.01,6:13:07,{'message': 'reached_goal'}
1,301,17,1096,0,0,0.01,6:13:16,{'message': 'reached_goal'}
0,302,17,1096,0,0,0.01,6:13:24,{'message': 'reached_goal'}
1,303,17,1096,0,0,0.01,6:13:33,{'message': 'reached_goal'}
0,304,17,1096,0,0,0.01,6:13:42,{'message': 'reached_goal'}
1,305,18,1102,0,0,0.01,6:13:51,{'message': 'reached_goal'}
0,306,18,1102,0,0,0.01,6:14:00,{'message': 'reached_goal'}
1,307,17,1096,0,0,0.01,6:14:08,{'message': 'reached_goal'}
0,308,18,1102,0,0,0.01,6:14:18,{'message': 'reached_goal'}
1,309,17,1096,0,0,0.01,6:14:27,{'message': 'reached_goal'}
0,310,17,1096,0,0,0.01,6:14:36,{'message': 'reached_goal'}
1,311,17,1096,0,0,0.01,6:14:44,{'message': 'reached_goal'}
0,312,18,1102,0,0,0.01,6:14:53,{'message': 'reached_goal'}
1,313,17,1096,0,0,0.01,6:15:03,{'message': 'reached_goal'}
0,314,17,1096,0,0,0.01,6:15:12,{'message': 'reached_goal'}
1,315,17,1096,0,0,0.01,6:15:20,{'message': 'reached_goal'}
0,316,17,1096,0,0,0.01,6:15:29,{'message': 'reached_goal'}
1,317,18,1102,0,0,0.01,6:15:37,{'message': 'reached_goal'}
0,318,17,1096,0,0,0.01,6:15:45,{'message': 'reached_goal'}
1,319,17,1096,0,0,0.01,6:15:54,{'message': 'reached_goal'}
0,320,18,1102,0,0,0.01,6:16:04,{'message': 'reached_goal'}
1,321,18,1102,0,0,0.01,6:16:13,{'message': 'reached_goal'}
0,322,18,1102,0,0,0.01,6:16:22,{'message': 'reached_goal'}
