,episode,steps,reward,alpha,gamma,epsilon,time,info
1,2741,42,-663,0.1,0.7,0.06,11:17:06,{'message': 'outside_geofence'}
0,2742,26,-537,0.1,0.7,0.05,11:17:14,{'message': 'outside_geofence'}
1,2743,14,-548,0.1,0.7,0.05,11:17:19,{'message': 'outside_geofence'}
0,2744,31,-503,0.1,0.7,0.05,11:17:29,{'message': 'outside_geofence'}
1,2745,12,-564,0.1,0.7,0.05,11:17:33,{'message': 'outside_geofence'}
0,2746,37,-515,0.1,0.7,0.05,11:17:45,{'message': 'outside_geofence'}
1,2747,48,-612,0.1,0.7,0.05,11:18:00,{'message': 'outside_geofence'}
0,2748,35,-496,0.1,0.7,0.05,11:18:12,{'message': 'outside_geofence'}
1,2749,30,-623,0.1,0.7,0.05,11:18:21,{'message': 'outside_geofence'}
0,2750,17,-552,0.1,0.7,0.05,11:18:27,{'message': 'outside_geofence'}
1,2751,29,-631,0.1,0.7,0.05,11:18:36,{'message': 'outside_geofence'}
0,2752,11,-528,0.1,0.7,0.05,11:18:40,{'message': 'outside_geofence'}
1,2753,19,-577,0.1,0.7,0.05,11:18:46,{'message': 'outside_geofence'}
0,2754,15,-550,0.1,0.7,0.05,11:18:51,{'message': 'outside_geofence'}
1,2755,32,-575,0.1,0.7,0.05,11:19:02,{'message': 'outside_geofence'}
0,2756,86,270,0.1,0.7,0.05,11:19:29,{'message': 'reached_goal'}
1,2757,38,-566,0.1,0.7,0.05,11:19:40,{'message': 'outside_geofence'}
0,2758,22,-545,0.1,0.7,0.05,11:19:48,{'message': 'outside_geofence'}
1,2759,15,-515,0.1,0.7,0.05,11:19:53,{'message': 'outside_geofence'}
0,2760,118,-614,0.1,0.7,0.05,11:20:29,{'message': 'outside_geofence'}
1,2761,58,-639,0.1,0.7,0.05,11:20:48,{'message': 'outside_geofence'}
0,2762,25,-588,0.1,0.7,0.05,11:20:56,{'message': 'outside_geofence'}
1,2763,149,-742,0.1,0.7,0.05,11:21:42,{'message': 'outside_geofence'}
0,2764,60,-583,0.1,0.7,0.05,11:22:01,{'message': 'outside_geofence'}
1,2765,25,-500,0.1,0.7,0.05,11:22:09,{'message': 'outside_geofence'}
0,2766,33,-577,0.1,0.7,0.05,11:22:21,{'message': 'outside_geofence'}
1,2767,17,-549,0.1,0.7,0.05,11:22:26,{'message': 'outside_geofence'}
0,2768,111,-624,0.1,0.7,0.05,11:23:01,{'message': 'outside_geofence'}
