,episode,steps,reward,alpha,gamma,epsilon,time
1,269,403,244,0.1,0.7,0.69,5:48:22
0,270,500,532,0.1,0.7,0.69,5:50:39
1,271,425,260,0.1,0.7,0.69,5:52:35
0,272,500,488,0.1,0.7,0.69,5:54:51
1,273,129,-84,0.1,0.7,0.68,5:55:27
0,274,500,504,0.1,0.7,0.68,5:57:45
1,275,500,476,0.1,0.7,0.68,6:00:02
0,276,500,528,0.1,0.7,0.68,6:02:21
1,277,340,116,0.1,0.7,0.68,6:03:54
0,278,500,496,0.1,0.7,0.68,6:06:12
1,279,500,496,0.1,0.7,0.68,6:08:30
0,280,500,520,0.1,0.7,0.68,6:10:46
1,281,500,552,0.1,0.7,0.68,6:13:04
0,282,500,528,0.1,0.7,0.68,6:15:20
1,283,500,496,0.1,0.7,0.68,6:17:38
0,284,500,516,0.1,0.7,0.68,6:19:55
1,285,500,464,0.1,0.7,0.68,6:22:13
0,286,500,480,0.1,0.7,0.68,6:24:30
1,287,500,456,0.1,0.7,0.68,6:26:48
0,288,500,508,0.1,0.7,0.67,6:29:04
1,289,500,504,0.1,0.7,0.67,6:31:22
0,290,500,500,0.1,0.7,0.67,6:33:38
1,291,500,536,0.1,0.7,0.67,6:35:55
0,292,267,72,0.1,0.7,0.67,6:37:08
1,293,500,516,0.1,0.7,0.67,6:39:25
0,294,500,528,0.1,0.7,0.67,6:41:41
1,295,500,536,0.1,0.7,0.67,6:43:59
0,296,136,-56,0.1,0.7,0.67,6:44:36
1,297,500,492,0.1,0.7,0.67,6:46:54
0,298,475,276,0.1,0.7,0.67,6:49:04
1,299,305,120,0.1,0.7,0.67,6:50:28
0,300,500,500,0.1,0.7,0.67,6:52:44
1,301,188,0,0.1,0.7,0.67,6:53:35
0,302,500,528,0.1,0.7,0.67,6:55:53
1,303,440,252,0.1,0.7,0.66,6:57:55
0,304,500,480,0.1,0.7,0.66,7:00:11
1,305,292,92,0.1,0.7,0.66,7:01:31
0,306,500,496,0.1,0.7,0.66,7:03:47
1,307,439,280,0.1,0.7,0.66,7:05:49
0,308,500,540,0.1,0.7,0.66,7:08:06
1,309,500,524,0.1,0.7,0.66,7:10:22
0,310,500,512,0.1,0.7,0.66,7:12:40
1,311,500,492,0.1,0.7,0.66,7:14:59
0,312,274,80,0.1,0.7,0.66,7:16:14
1,313,500,476,0.1,0.7,0.66,7:18:31
0,314,500,456,0.1,0.7,0.66,7:20:46
1,315,447,248,0.1,0.7,0.66,7:22:48
